customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
1935-IMVBB,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
2690-DVRVK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1343-EHPYB,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
4730-AWNAU,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
2234-XADUH,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
7609-YBPXG,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
9451-WLYRI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0708-LGSMF,Yes,Yes,DSL,Yes,No,No,No,No,Yes
6298-QDFNH,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
6147-CBCRA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3675-YDUPJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2725-IWWBA,Yes,No,DSL,Yes,No,Yes,Yes,No,No
5922-ABDVO,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes
1465-WCZVT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1841-YSJGV,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
2039-JONDJ,Yes,No,DSL,Yes,Yes,No,No,No,No
4644-OBGFZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8659-IOOPU,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes
8035-BUYVG,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
2072-ZVJJX,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9924-JPRMC,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
8048-DSDFQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0536-BGFMZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5176-LMJXE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5067-XJQFU,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
1492-QGCLU,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
6979-TNDEU,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6982-UQZLY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4132-KALRO,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
8896-RAZCR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2509-TFPJU,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1814-WFGVS,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No
7781-EWARA,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
1866-DIOQZ,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
9572-WUKSB,No,No phone service,DSL,No,No,No,Yes,No,No
1216-BGTSP,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
6728-DKUCO,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
9257-AZMTZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8144-DGHXP,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes
5120-ZBLAI,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes
5201-CBWYG,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8582-KRHPJ,No,No phone service,DSL,Yes,Yes,No,No,No,No
6563-VRERX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8919-FYFQZ,No,No phone service,DSL,No,Yes,No,No,No,No
0048-PIHNL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3604-WLABM,Yes,No,DSL,No,No,Yes,Yes,No,No
6244-BESBM,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
9178-JHUVJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4791-QRGMF,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
8486-AYEQH,Yes,Yes,Fiber optic,No,No,No,No,No,No
3751-KTZEL,No,No phone service,DSL,No,No,No,No,No,Yes
5945-AZYHT,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
8879-XUAHX,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
8034-RYTVV,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
0956-SYCWG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1431-CYWMH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2842-BCQGE,Yes,Yes,Fiber optic,No,No,No,No,No,No
6900-RBKER,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes
0851-DFJKB,Yes,No,DSL,Yes,No,Yes,Yes,No,No
8780-RSYYU,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7673-BQGKU,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7841-TZDMQ,Yes,No,DSL,No,No,No,No,No,No
4759-TRPLW,Yes,No,Fiber optic,No,No,No,No,No,No
1784-BXEFA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7008-LZVOZ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8329-GWVPJ,Yes,No,Fiber optic,No,No,No,No,No,No
1029-QFBEN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2931-FSOHN,Yes,No,DSL,No,Yes,No,No,Yes,No
5848-FHRFC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4828-FAZPK,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
8755-OGKNA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4817-QRJSX,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
3836-FZSDJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7009-LGECI,Yes,No,DSL,Yes,No,No,No,No,No
2070-XYMFH,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
9633-XQABV,Yes,No,Fiber optic,No,No,No,No,No,No
4957-TREIR,Yes,No,DSL,Yes,No,No,Yes,Yes,No
2869-ADAWR,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
2172-EJXVF,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
4290-BSXUX,Yes,Yes,Fiber optic,No,No,No,Yes,No,No
2930-UOTMB,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No
0599-XNYDO,Yes,No,Fiber optic,No,No,No,No,No,No
3946-JEWRQ,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
7785-RDVIG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8217-QYOHV,Yes,No,DSL,Yes,No,No,Yes,No,No
4325-NFSKC,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
0689-DSXGL,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No
1891-FZYSA,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
3324-OIRTO,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
0536-ESJEP,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes
9576-SYUHJ,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
0516-QREYC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4718-DHSMV,No,No phone service,DSL,No,No,No,No,Yes,No
5396-IZEPB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6988-CJEYV,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4616-EWBNJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0623-EJQEG,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes
8388-DMKAE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4329-YPDDQ,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6286-ZHAOK,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0572-ZJKLT,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes
2495-KZNFB,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes
4849-PYRLQ,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes
2308-STERM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0219-YTZUE,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
7005-CYUIL,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No
3027-ZTDHO,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
2808-CHTDM,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9702-AIUJO,Yes,No,DSL,No,No,No,No,No,No
3530-CRZSB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1248-DYXUB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4355-HBJHH,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes
6625-UTXEW,Yes,No,DSL,No,Yes,No,No,No,No
7975-TZMLR,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
1376-HHBDV,Yes,No,DSL,Yes,No,No,No,No,No
0082-LDZUE,Yes,No,DSL,No,No,No,No,No,No
8485-GJCDN,Yes,No,Fiber optic,No,No,No,No,No,No
5774-QPLTF,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3084-DOWLE,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
1751-NCDLI,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2012-NWRPA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
9631-RXVJM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0390-DCFDQ,Yes,No,Fiber optic,No,No,No,No,No,No
8123-QBNAZ,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
5550-VFRLC,Yes,No,Fiber optic,No,No,No,No,No,No
1452-KIOVK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
7764-BDPEE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4955-VCWBI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0306-JAELE,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
1853-ARAAQ,No,No phone service,DSL,No,No,Yes,No,Yes,Yes
9388-ZEYVT,No,No phone service,DSL,No,No,Yes,Yes,No,Yes
3208-YPIOE,Yes,Yes,Fiber optic,No,No,No,No,No,No
3156-QLHBO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2347-WKKAE,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes
8469-SNFFH,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
1814-DKOLC,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9411-TPQQV,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes
6631-HMANX,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
8216-AZUUZ,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
7218-HKQFK,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
6987-XQSJT,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
4869-EPIUS,Yes,No,Fiber optic,No,No,No,No,No,Yes
2573-GYRUU,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes
1125-SNVCK,Yes,No,DSL,No,No,No,No,No,No
5702-SKUOB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9067-YGSCA,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3712-PKXZA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2533-QVMSK,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No
9385-EHGDO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8784-CGILN,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
6300-BWMJX,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No
5529-GIBVH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1775-KWJKQ,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
4396-KLSEH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1936-CZAKF,No,No phone service,DSL,No,Yes,No,No,Yes,Yes
7526-BEZQB,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
4568-KNYWR,Yes,No,DSL,Yes,Yes,No,No,Yes,No
0327-WFZSY,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2796-NNUFI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4774-HHGGS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0515-YPMCW,Yes,No,Fiber optic,No,No,No,No,No,No
7661-CPURM,Yes,No,Fiber optic,No,No,No,Yes,No,Yes
0774-IFUVM,Yes,Yes,DSL,Yes,No,No,No,Yes,No
5456-ITGIC,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7504-UWHNB,Yes,No,Fiber optic,No,No,No,No,No,No
5902-WBLSE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9958-MEKUC,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
4631-OACRM,Yes,No,Fiber optic,No,No,No,No,No,Yes
5168-MQQCA,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
8443-ZRDBZ,Yes,Yes,Fiber optic,No,No,No,No,No,No
7658-UYUQS,Yes,No,Fiber optic,No,No,Yes,No,Yes,No
0895-LMRSF,Yes,No,DSL,No,No,No,No,Yes,Yes
9494-MRNYX,Yes,Yes,Fiber optic,No,No,No,No,No,No
1661-CZBAU,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes
7096-UCLNH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9714-EDSUC,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes
9475-NNDGC,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
9504-YAZWB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0401-WDBXM,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
7753-USQYQ,Yes,No,DSL,No,Yes,No,Yes,No,Yes
0754-EEBDC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4431-EDMIQ,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No
1734-ZMNTZ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4750-ZRXIU,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
7080-TNUWP,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
4538-WNTMJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0308-IVGOK,No,No phone service,DSL,No,Yes,Yes,Yes,No,No
7524-VRLPL,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes
0929-PECLO,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes
8295-FHIVV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1179-INLAT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9648-BCHKM,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1251-STYSZ,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
1428-GTBJJ,Yes,No,Fiber optic,No,Yes,No,No,No,No
5028-GZLDO,Yes,No,Fiber optic,No,No,No,No,No,No
4128-ETESU,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
9110-HSGTV,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes
3372-CDXFJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1810-MVMAI,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No
5712-AHQNN,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No
6483-OATDN,Yes,No,DSL,Yes,No,No,No,No,No
0757-WCUUZ,Yes,Yes,DSL,No,No,Yes,No,No,Yes
4770-UEZOX,Yes,No,Fiber optic,No,Yes,No,No,No,No
8490-BXHEO,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
3001-CBHLQ,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
3316-UWXUY,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes
7446-KQISO,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3936-QQFLL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5115-GZDEL,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7480-QNVZJ,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
6786-OBWQR,Yes,No,Fiber optic,No,No,No,No,Yes,No
2057-ZBLPD,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
8104-OSKWT,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
2034-GDRCN,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
0397-GZBBC,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
3090-HAWSU,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
8149-RSOUN,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
2207-RYYRL,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1501-SGHBW,Yes,No,DSL,No,No,No,No,No,No
6351-SCJKT,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
0409-WTMPL,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
2866-IKBTM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7601-GNDYK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6407-UTSLV,Yes,No,Fiber optic,No,Yes,No,No,Yes,No
6349-JDHQP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7774-OJSXI,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2545-LXYVJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1707-HABPF,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No
5960-MVTUK,No,No phone service,DSL,No,No,No,Yes,No,No
5937-EORGB,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No
6857-VWJDT,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
7161-DFHUF,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9253-QXKBE,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
2208-MPXIO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5876-QMYLD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9094-AZPHK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4695-WJZUE,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes
0330-IVZHA,Yes,No,Fiber optic,No,No,No,No,No,No
7105-MXJLL,Yes,No,DSL,No,No,Yes,No,No,Yes
6234-PFPXL,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No
7016-NVRIC,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes
4883-QICIH,Yes,No,Fiber optic,No,No,No,No,No,No
3007-FDPEA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6261-LHRTG,Yes,No,DSL,No,Yes,Yes,No,No,No
2632-UCGVD,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
3966-HRMZA,Yes,No,Fiber optic,No,No,Yes,No,No,No
1091-SOZGA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
3969-GYXEL,Yes,No,Fiber optic,Yes,No,No,No,No,No
5803-NQJZO,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No
4800-VHZKI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3057-VJJQE,Yes,Yes,DSL,Yes,No,No,No,No,No
7472-EQOAV,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No
3786-WOVKF,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
6543-XRMYR,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4163-HFTUK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3571-RFHAR,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3757-NJYBX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
1264-FUHCX,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes
7176-WIONM,No,No phone service,DSL,No,No,Yes,No,Yes,Yes
6518-LGAOV,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
3137-NYQQI,Yes,No,DSL,Yes,Yes,No,No,No,Yes
6313-GIDIT,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes
2507-QZPQS,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes
5649-RXQTV,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
7562-GSUHK,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
9972-VAFJJ,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No
7596-ZYWBB,Yes,No,DSL,Yes,Yes,No,Yes,No,No
6457-USBER,Yes,No,Fiber optic,No,No,No,No,No,Yes
0104-PPXDV,Yes,No,DSL,No,No,Yes,No,No,No
3462-BJQQA,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
8548-AWOFC,Yes,Yes,DSL,No,No,No,Yes,No,Yes
2725-KXXWT,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
5485-ITNPC,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0106-UGRDO,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
5832-XKAES,Yes,No,Fiber optic,No,No,No,No,No,No
9720-JJJOR,Yes,No,DSL,Yes,Yes,Yes,No,No,No
7115-IRDHS,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6963-KQYQB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7587-RZNME,Yes,No,DSL,No,No,No,No,No,No
7508-DQAKK,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
8204-YJCLA,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
2749-CTKAJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4549-ZDQYY,Yes,No,DSL,Yes,No,Yes,Yes,No,No
5893-KCLGT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3639-XJHKQ,Yes,No,DSL,Yes,Yes,Yes,No,No,No
3537-HPKQT,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
6258-PVZWJ,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7549-MYGPK,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No
4277-UDIEF,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes
8625-AZYZY,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2675-OTVVJ,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
